question,A,B,C,D,correct_answer
"When light passes from air to glass, it bends due to",Reflection,Refraction,Diffraction,Dispersion,Refraction
The speed of light is maximum in,Water,Glass,Vacuum,Air,Vacuum
The image formed by a plane mirror is,Real and inverted,Virtual and inverted,Real and erect,Virtual and erect,Virtual and erect
The focal length of a concave mirror is 20 cm. Its radius of curvature is,10 cm,20 cm,40 cm,80 cm,40 cm
Which mirror is used as a rear-view mirror in vehicles,Plane mirror,Concave mirror,Convex mirror,Parabolic mirror,Convex mirror
The splitting of white light into its component colours is called,Reflection,Refraction,Dispersion,Interference,Dispersion
The refractive index of a medium is defined as,Speed in medium / Speed in vacuum,Speed in vacuum / Speed in medium,Wavelength / Frequency,Frequency / Wavelength,Speed in vacuum / Speed in medium
A concave lens always forms,Real image,Virtual image,Inverted image,Magnified image,Virtual image
Twinkling of stars is due to,Reflection,Refraction,Atmospheric refraction,Dispersion,Atmospheric refraction
Power of a lens is measured in,Watt,Joule,Dioptre,Newton,Dioptre
